pretty_formula,e_above_hull,energy_per_atom,formation_energy_per_atom
AcAg3,0,-3.357082589,-0.201376145
AcAg,0,-3.737086965,-0.257409218
AcAl3,0,-4.205929705,-0.362947232
AcAu3,0,-4.174837349,-0.6875714
AcCd3,0,-1.987374226,-0.269418372
AcCu3,0,-4.182989933,-0.076615642
AcGa3,0,-3.833015864,-0.523185695
AcHg3,0,-1.668666815,-0.408993889
Ac3In,0,-3.936982654,-0.153302805
AcIn3,0,-3.508255535,-0.412456694
AcMg5,0,-2.092228857,-0.067346331
AcMg,0,-2.93986694,-0.073889283
AcMg149,0,-1.637095467,-0.015938605
Ac3Sn,0,-4.41073706,-0.312672434
Ac3Tl,0,-3.778603938,-0.091086734
AcZn3,0,-2.225708576,-0.239183369
AlAg2,0,-3.2114015,-0.074210347
AlAg3,0,-3.138207319,-0.077380169
AgAu,0,-3.095824665,-0.043049855
AgAu3,0,-3.20187649,-0.038581845
Ag3Au,0,-2.982581245,-0.04032627
BaAg5,0,-2.845241227,-0.164696333
BaAg,0,-2.660770638,-0.282606238
BaAg2,0,-2.825535708,-0.296181062
CaAg,0,-2.75512176,-0.337672499
CaAg2,0,-2.8568644,-0.301319846
Ca2Ag7,0,-2.888116592,-0.240508509
Ca5Ag3,0,-2.601398596,-0.287520804
CdAg3,0,-2.40650485,-0.054019906
CdAg,0,-1.94909506,-0.075860312
Cd8Ag5,0,-1.716913512,-0.064871163
GaAg2,0,-2.943174483,-0.04293991
Ga5Ag13,0,-2.925153154,-0.036335153
HfAg,0,-6.511317478,-0.11831721
Hf2Ag,0,-7.701265503,-0.12117686
In4Ag9,0,-2.847145587,-0.039987925
InAg3,0,-2.849816155,-0.038050216
KAg2,0,-2.268769509,-0.010834642
LaAg,0,-4.14250234,-0.25269194
LaAg2,0,-3.837939767,-0.30082112
LiAg3,0,-2.742698863,-0.141904345
Li3Ag,0,-2.299176293,-0.16026302
LiAg,0,-2.591841515,-0.22198762
Li8Ag5,0,-2.466757598,-0.203491682
Mg54Ag17,0,-2.030578908,-0.132359398
MgAg3,0,-2.687705529,-0.162820434
MgAg,0,-2.462937655,-0.244902605
Mg149Ag,0,-1.637460845,-0.024943217
MgAg5,0,-2.736426842,-0.109258398
NaAg2,0,-2.424080763,-0.098726825
AgPd,0,-4.065695615,-0.058518975
Ag3Pd,0,-3.478265604,-0.058809714
AgPt,0,-4.48748888,-0.04320686
ScAg4,0,-3.729836746,-0.197408762
ScAg2,0,-4.30011269,-0.300556143
ScAg,0,-4.85839154,-0.27492429
Ag3Sn,0,-3.151738673,-0.025587956
SrAg,0,-2.581503029,-0.322652944
Sr3Ag2,0,-2.416166829,-0.271893755
SrAg5,0,-2.82791464,-0.187141185
SrAg2,0,-2.758983488,-0.309171718
Sr7Ag3,0,-2.240996818,-0.211300755
TiAg,0,-5.429857813,-0.065426566
Ti2Ag,0,-6.265028023,-0.056364741
Y14Ag51,0,-3.86180751,-0.247009506
YAg,0,-4.984896925,-0.33533728
YAg2,0,-4.375108217,-0.331490073
ZnAg,0,-2.101831615,-0.049550632
Zn2Ag,0,-1.838084014,-0.045621084
ZnAg3,0,-2.479346975,-0.037338914
Zr2Ag,0,-6.750894993,-0.108635307
ZrAg,0,-5.81234342,-0.12271487
AlAu2,0,-3.750796583,-0.31888587
Al3Au8,0,-3.682818717,-0.279652773
AlAu,0,-3.903403136,-0.392444306
AlAu4,0,-3.579672368,-0.211000148
Al2Au,0,-4.010752927,-0.42074598
Ba21Al40,0,-3.354037844,-0.233700236
BaAl4,0,-3.61875882,-0.235357544
Ba4Al5,0,-3.159558518,-0.221904013
Ba7Al10,0,-3.228204606,-0.230958287
CaAl2,0,-3.493779553,-0.327322973
Ca8Al3,0,-2.631505025,-0.15244897
AlCo,0,-6.03247065,-0.60342189
Al9Co2,0,-4.685515192,-0.326159074
Al5Co2,0,-5.167143212,-0.458499701
Al45Cr7,0,-4.657762692,-0.116963266
AlCr2,0,-7.802705393,-0.128868427
Al3Cr,0,-5.358165788,-0.137912438
Al4Cu9,0,-4.201356657,-0.210122568
AlCu,0,-4.136929071,-0.213231346
AlCu3,0,-4.200537548,-0.18904255
Al2Cu,0,-4.04146503,-0.17629882
Al6Fe,0,-4.619476499,-0.198269364
AlFe3,0,-7.475975258,-0.19407631
AlFe,0,-6.43442648,-0.330459455
Al12Fe7,0,-5.797295967,-0.313293112
Hf4Al3,0,-7.684377973,-0.389896384
HfAl2,0,-6.260191063,-0.443367145
HfAl3,0,-5.694860379,-0.395216645
Al9Ir2,0,-5.193525763,-0.515291
AlIr,0,-7.25228126,-0.946316225
Al3Ir,0,-5.683343296,-0.656309189
La3Al11,0,-4.393997624,-0.388798199
LaAl,0,-4.749102491,-0.401108071
LaAl2,0,-4.639264215,-0.491233542
LaAl3,0,-4.488548909,-0.440500109
Li9Al4,0,-2.630737249,-0.15657059
Li3Al2,0,-2.826167946,-0.182143084
LiAl,0,-3.007599425,-0.17956151
Li2Al,0,-2.685359973,-0.16401048
MgAl2,0,-3.076724122,-0.043210348
Mg16Al13,0,-2.611284593,-0.045950086
Mg149Al,0,-1.641816533,-0.023189785
MnAl,0,-6.717294355,-0.263618135
MnAl6,0,-4.69187664,-0.170752591
Mn4Al11,0,-5.465917353,-0.274841885
Al12Mo,0,-4.407873992,-0.11252159
Al5Mo,0,-5.173207205,-0.239397378
Al3Mo,0,-5.843449817,-0.316786667
AlMo3,0,-9.311356765,-0.227573675
Al8Mo3,0,-6.017963245,-0.329612825
NbAl3,0,-5.763252345,-0.423890168
Nb2Al,0,-8.275332112,-0.283871605
AlNi3,0,-5.702415315,-0.429583983
Al3Ni,0,-4.65746623,-0.401120333
Al3Ni2,0,-5.171572134,-0.610280606
AlNi,0,-5.4240134,-0.659424785
Al4Ni3,0,-5.245198708,-0.625822298
Al3Ni5,0,-5.588139834,-0.56942986
Al2Os,0,-6.801340003,-0.562676972
Al13Os4,0,-5.954120635,-0.447975207
AlPd2,0,-5.532472868,-0.828026382
AlPd,0,-5.374583662,-0.909223002
AlPd5,0,-5.405091714,-0.4615594
Al3Pd2,0,-5.092819568,-0.770910404
Al3Pd5,0,-5.493699816,-0.849024786
Al21Pd8,0,-4.693803932,-0.549972487
AlPt3,0,-6.185059448,-0.705411978
AlPt,0,-5.949162776,-1.046696736
Al2Pt,0,-5.414176997,-0.896498577
