pretty_formula,e_above_hull,energy_per_atom,formation_energy_per_atom
AcAgAu2,0,-3.933722015,-0.556975902
AcCdAg2,0,-2.903375885,-0.226919638
AcInAg2,0,-3.420715368,-0.284978125
Ac2AgIr,0,-5.350814888,-0.363114203
AcAg2Pb,0,-3.678050278,-0.301512559
Ac2AgPb,0,-4.064571013,-0.364061991
AcAg2Sn,0,-3.801952385,-0.351830365
AcTlAg2,0,-3.264747793,-0.225173195
AcBiAu2,0,-4.29948912,-0.656115558
CaAcAu2,0,-3.970718665,-0.801115491
AcCdAu2,0,-3.520153673,-0.622657755
AcHgAu2,0,-3.345480203,-0.600745262
AcInAu2,0,-4.009096233,-0.65231932
Ac2IrAu,0,-5.7079787,-0.609758181
NaAcAu2,0,-3.606805933,-0.60984572
AcPbAu2,0,-4.224199918,-0.626622529
AcSnAu2,0,-4.346764408,-0.675602718
SrAcAu2,0,-3.853790933,-0.763487347
AcTlAu2,0,-3.845233925,-0.584619658
Ac2ZnAu,0,-3.698764698,-0.498294195
CaAcGa2,0,-3.500689448,-0.449376794
CaAcHg2,0,-2.225432768,-0.540891609
CaAcIn2,0,-3.347103228,-0.438478125
CaAcMg2,0,-2.423071698,-0.088208284
CaAcRh2,0,-5.67194771,-0.460749471
CaAcTl2,0,-3.132221865,-0.415922054
CaAcZn2,0,-2.43565566,-0.266546314
Ac2CdGa,0,-3.400000788,-0.348198662
AcCdHg2,0,-1.819739443,-0.40730554
Ac2CdHg,0,-2.729137645,-0.360721267
AcLaCd2,0,-3.017707648,-0.291463967
AcMgCd2,0,-2.150766228,-0.260410222
AcCdRh2,0,-5.291953825,-0.352862843
Ac2CdSn,0,-3.75818753,-0.463344403
SrAcCd2,0,-2.241890105,-0.331126582
Ac2TlCd,0,-3.168434268,-0.284138563
Ac2GaCu,0,-4.101057733,-0.253116128
Ac2CuIr,0,-5.614415768,-0.309825801
Ac2CuRu,0,-5.437217618,-0.029496227
Ac2CuSn,0,-4.428108178,-0.337125572
